"
                    Code
                ","
                    Title
                ","
                    Term
                ","
                    Career
                ","
                    Units
                ","
                    Delivery
                "
SCNC2103,Advanced Studies 3,"Spring Session, 2018",Undergraduate,6,In Person
ARTS2102,Advanced Studies 4,"Autumn Session, 2018",Undergraduate,6,In Person
ARTS2102,Advanced Studies 4,"First Semester, 2018",Undergraduate,6,In Person
SCNC2104,Advanced Studies 4,"Summer Session, 2018",Undergraduate,6,In Person
SCNC2104,Advanced Studies 4,"Autumn Session, 2018",Undergraduate,6,In Person
ARTS2102,Advanced Studies 4,"Winter Session, 2018",Undergraduate,6,In Person
ARTS2102,Advanced Studies 4,"Spring Session, 2018",Undergraduate,6,In Person
SCNC2104,Advanced Studies 4,"First Semester, 2018",Undergraduate,6,In Person
SCNC2104,Advanced Studies 4,"Winter Session, 2018",Undergraduate,6,In Person
ARTS2102,Advanced Studies 4,"Summer Session, 2018",Undergraduate,6,In Person
SCNC2104,Advanced Studies 4,"Spring Session, 2018",Undergraduate,6,In Person
ARTS2102,Advanced Studies 4,"Second Semester, 2018",Undergraduate,6,In Person
SCNC2104,Advanced Studies 4,"Second Semester, 2018",Undergraduate,6,In Person
ARTS3101,Advanced Studies 5,"Summer Session, 2018",Undergraduate,6,In Person
ARTS3101,Advanced Studies 5,"First Semester, 2018",Undergraduate,6,In Person
ARTS3101,Advanced Studies 5,"Winter Session, 2018",Undergraduate,6,In Person
SCNC3101,Advanced Studies 5,"Autumn Session, 2018",Undergraduate,6,In Person
SCNC3101,Advanced Studies 5,"Spring Session, 2018",Undergraduate,6,In Person
SCNC3101,Advanced Studies 5,"Second Semester, 2018",Undergraduate,6,In Person
SCNC3101,Advanced Studies 5,"Summer Session, 2018",Undergraduate,6,In Person
ARTS3101,Advanced Studies 5,"Second Semester, 2018",Undergraduate,6,In Person
SCNC3101,Advanced Studies 5,"Winter Session, 2018",Undergraduate,6,In Person
ARTS3101,Advanced Studies 5,"Autumn Session, 2018",Undergraduate,6,In Person
ARTS3101,Advanced Studies 5,"Spring Session, 2018",Undergraduate,6,In Person
SCNC3101,Advanced Studies 5,"First Semester, 2018",Undergraduate,6,In Person
ARTS3102,Advanced Studies 6,"Summer Session, 2018",Undergraduate,6,In Person
SCNC3102,Advanced Studies 6,"Autumn Session, 2018",Undergraduate,6,In Person
SCNC3102,Advanced Studies 6,"Second Semester, 2018",Undergraduate,6,In Person
SCNC3102,Advanced Studies 6,"Summer Session, 2018",Undergraduate,6,In Person
ARTS3102,Advanced Studies 6,"First Semester, 2018",Undergraduate,6,In Person
SCNC3102,Advanced Studies 6,"Spring Session, 2018",Undergraduate,6,In Person
ARTS3102,Advanced Studies 6,"Winter Session, 2018",Undergraduate,6,In Person
ARTS3102,Advanced Studies 6,"Second Semester, 2018",Undergraduate,6,In Person
SCNC3102,Advanced Studies 6,"Winter Session, 2018",Undergraduate,6,In Person
ARTS3102,Advanced Studies 6,"Autumn Session, 2018",Undergraduate,6,In Person
ARTS3102,Advanced Studies 6,"Spring Session, 2018",Undergraduate,6,In Person
SCNC3102,Advanced Studies 6,"First Semester, 2018",Undergraduate,6,In Person
ASIA1114,Advanced Studies in Asia and the Pacific 1,"Autumn Session, 2018",Undergraduate,6,In Person
ASIA1114,Advanced Studies in Asia and the Pacific 1,"Winter Session, 2018",Undergraduate,6,In Person
ASIA1114,Advanced Studies in Asia and the Pacific 1,"First Semester, 2018",Undergraduate,6,In Person
