"
                    Code
                ","
                    Title
                ","
                    Term
                ","
                    Career
                ","
                    Units
                ","
                    Delivery
                "
MATH6205,Differential Geometry,"First Semester, 2018",Postgraduate,6,In Person
DART8067,"Digital Arts Research: contexts, practices and methodologies","First Semester, 2018",Postgraduate,6,In Person
ENGN6626,Digital Communications,"First Semester, 2018",Postgraduate,6,In Person
DESN6001,Digital Form and Fabrication,"First Semester, 2018",Postgraduate,6,In Person
HUMN8030,Digital Humanities and Public Culture Research Project,"First Semester, 2018",Postgraduate,6,In Person
HUMN8031,Digital Humanities and Public Culture Research Project (Advanced),"First Semester, 2018",Postgraduate,12,In Person
HUMN6003,Digital Humanities: Methods and Practices,"First Semester, 2018",Postgraduate,6,In Person
INFS8205,"Digital Strategy, Executive and Operations","First Semester, 2018",Postgraduate,6,In Person
ENGN6213,Digital Systems and Microprocessors,"First Semester, 2018",Postgraduate,6,In Person
INFS7040,Digital Transformation,"First Semester, 2018",Postgraduate,6,In Person
ECON8026,Diploma Macroeconomics,"First Semester, 2018",Postgraduate,6,In Person
ECON8025,Diploma Microeconomics,"First Semester, 2018",Postgraduate,6,In Person
CHMD8001,"Directed Readings in Culture, Health and Medicine","First Semester, 2018",Postgraduate,6,In Person
MATH6005,Discrete Mathematical Models,"First Semester, 2018",Postgraduate,6,In Person
ENGN6537,Discrete-Time Signal Processing,"First Semester, 2018",Postgraduate,6,In Person
FINM8020,Doctoral Studies in Asset Pricing 2,"First Semester, 2018",Postgraduate,6,In Person
FINM8021,Doctoral Studies in Corporate Finance Empirical,"First Semester, 2018",Postgraduate,6,In Person
MEAS8112,Dynamics of Israeli-Palestinian Conflict,"First Semester, 2018",Postgraduate,6,In Person
EMSC8030,Earth Science Research Project,"First Semester, 2018",Postgraduate,6,In Person
EMDV8012,Ecological Economics and Policy,"First Semester, 2018",Postgraduate,6,In Person
BIOL6109,Ecological and Evolutionary Developmental Biology,"First Semester, 2018",Postgraduate,6,In Person
BIOL6004,Ecology,"First Semester, 2018",Postgraduate,6,In Person
EMET6007,Econometrics I: Econometric Methods,"First Semester, 2018",Postgraduate,6,In Person
EMET8005,Economic Models and Introductory Econometrics,"First Semester, 2018",Postgraduate,6,In Person
POGO8081,Economics for Government,"First Semester, 2018",Postgraduate,6,In Person
CRWF7001,"Editor’s practicum: online public engagement, academic blogging and digital disruption","First Semester, 2018",Postgraduate,6,In Person
TURK6001,Elementary Turkish A,"First Semester, 2018",Postgraduate,6,In Person
MGMT8019,Empirical Methods in Management,"First Semester, 2018",Postgraduate,6,In Person
BUSN8100,Empirical Research in Financial Accounting,"First Semester, 2018",Postgraduate,6,In Person
